day_pt,country_code,participators,interval_start_timestamp
2024-12-03T00:00:00+00:00,Other,119,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,TW,779,2024-12-03T00:00:00+00:00
