day_pt,days_in_guild,muters,interval_start_timestamp
2024-08-24T00:00:00+00:00,Existing Members,1,2024-08-24T00:00:00+00:00
2024-08-24T00:00:00+00:00,New Members,2,2024-08-24T00:00:00+00:00
2024-08-25T00:00:00+00:00,Existing Members,0,2024-08-25T00:00:00+00:00
2024-08-25T00:00:00+00:00,New Members,5,2024-08-25T00:00:00+00:00
2024-08-26T00:00:00+00:00,Existing Members,0,2024-08-26T00:00:00+00:00
2024-08-26T00:00:00+00:00,New Members,2,2024-08-26T00:00:00+00:00
2024-08-27T00:00:00+00:00,Existing Members,0,2024-08-27T00:00:00+00:00
2024-08-27T00:00:00+00:00,New Members,1,2024-08-27T00:00:00+00:00
2024-08-28T00:00:00+00:00,Existing Members,0,2024-08-28T00:00:00+00:00
2024-08-28T00:00:00+00:00,New Members,1,2024-08-28T00:00:00+00:00
2024-08-29T00:00:00+00:00,Existing Members,1,2024-08-29T00:00:00+00:00
2024-08-29T00:00:00+00:00,New Members,4,2024-08-29T00:00:00+00:00
2024-08-30T00:00:00+00:00,Existing Members,0,2024-08-30T00:00:00+00:00
2024-08-30T00:00:00+00:00,New Members,3,2024-08-30T00:00:00+00:00
2024-08-31T00:00:00+00:00,Existing Members,0,2024-08-31T00:00:00+00:00
2024-08-31T00:00:00+00:00,New Members,1,2024-08-31T00:00:00+00:00
2024-09-01T00:00:00+00:00,Existing Members,1,2024-09-01T00:00:00+00:00
2024-09-01T00:00:00+00:00,New Members,1,2024-09-01T00:00:00+00:00
2024-09-02T00:00:00+00:00,Existing Members,0,2024-09-02T00:00:00+00:00
2024-09-02T00:00:00+00:00,New Members,3,2024-09-02T00:00:00+00:00
2024-09-03T00:00:00+00:00,Existing Members,1,2024-09-03T00:00:00+00:00
2024-09-03T00:00:00+00:00,New Members,0,2024-09-03T00:00:00+00:00
2024-09-04T00:00:00+00:00,Existing Members,0,2024-09-04T00:00:00+00:00
2024-09-04T00:00:00+00:00,New Members,0,2024-09-04T00:00:00+00:00
2024-09-05T00:00:00+00:00,Existing Members,0,2024-09-05T00:00:00+00:00
2024-09-05T00:00:00+00:00,New Members,1,2024-09-05T00:00:00+00:00
2024-09-06T00:00:00+00:00,Existing Members,0,2024-09-06T00:00:00+00:00
2024-09-06T00:00:00+00:00,New Members,2,2024-09-06T00:00:00+00:00
2024-09-07T00:00:00+00:00,Existing Members,3,2024-09-07T00:00:00+00:00
2024-09-07T00:00:00+00:00,New Members,3,2024-09-07T00:00:00+00:00
2024-09-08T00:00:00+00:00,Existing Members,2,2024-09-08T00:00:00+00:00
2024-09-08T00:00:00+00:00,New Members,2,2024-09-08T00:00:00+00:00
2024-09-09T00:00:00+00:00,Existing Members,1,2024-09-09T00:00:00+00:00
2024-09-09T00:00:00+00:00,New Members,3,2024-09-09T00:00:00+00:00
2024-09-10T00:00:00+00:00,Existing Members,2,2024-09-10T00:00:00+00:00
2024-09-10T00:00:00+00:00,New Members,5,2024-09-10T00:00:00+00:00
2024-09-11T00:00:00+00:00,Existing Members,0,2024-09-11T00:00:00+00:00
2024-09-11T00:00:00+00:00,New Members,1,2024-09-11T00:00:00+00:00
2024-09-12T00:00:00+00:00,Existing Members,0,2024-09-12T00:00:00+00:00
2024-09-12T00:00:00+00:00,New Members,4,2024-09-12T00:00:00+00:00
2024-09-13T00:00:00+00:00,Existing Members,0,2024-09-13T00:00:00+00:00
2024-09-13T00:00:00+00:00,New Members,4,2024-09-13T00:00:00+00:00
2024-09-14T00:00:00+00:00,Existing Members,1,2024-09-14T00:00:00+00:00
2024-09-14T00:00:00+00:00,New Members,1,2024-09-14T00:00:00+00:00
2024-09-15T00:00:00+00:00,Existing Members,1,2024-09-15T00:00:00+00:00
2024-09-15T00:00:00+00:00,New Members,2,2024-09-15T00:00:00+00:00
2024-09-16T00:00:00+00:00,Existing Members,2,2024-09-16T00:00:00+00:00
2024-09-16T00:00:00+00:00,New Members,0,2024-09-16T00:00:00+00:00
2024-09-17T00:00:00+00:00,Existing Members,0,2024-09-17T00:00:00+00:00
2024-09-17T00:00:00+00:00,New Members,0,2024-09-17T00:00:00+00:00
2024-09-18T00:00:00+00:00,Existing Members,1,2024-09-18T00:00:00+00:00
2024-09-18T00:00:00+00:00,New Members,0,2024-09-18T00:00:00+00:00
2024-09-19T00:00:00+00:00,Existing Members,1,2024-09-19T00:00:00+00:00
2024-09-19T00:00:00+00:00,New Members,1,2024-09-19T00:00:00+00:00
2024-09-20T00:00:00+00:00,Existing Members,0,2024-09-20T00:00:00+00:00
2024-09-20T00:00:00+00:00,New Members,0,2024-09-20T00:00:00+00:00
2024-09-21T00:00:00+00:00,Existing Members,2,2024-09-21T00:00:00+00:00
2024-09-21T00:00:00+00:00,New Members,1,2024-09-21T00:00:00+00:00
2024-09-22T00:00:00+00:00,Existing Members,3,2024-09-22T00:00:00+00:00
2024-09-22T00:00:00+00:00,New Members,0,2024-09-22T00:00:00+00:00
2024-09-23T00:00:00+00:00,Existing Members,2,2024-09-23T00:00:00+00:00
2024-09-23T00:00:00+00:00,New Members,2,2024-09-23T00:00:00+00:00
2024-09-24T00:00:00+00:00,Existing Members,6,2024-09-24T00:00:00+00:00
2024-09-24T00:00:00+00:00,New Members,1,2024-09-24T00:00:00+00:00
2024-09-25T00:00:00+00:00,Existing Members,6,2024-09-25T00:00:00+00:00
2024-09-25T00:00:00+00:00,New Members,3,2024-09-25T00:00:00+00:00
2024-09-26T00:00:00+00:00,Existing Members,3,2024-09-26T00:00:00+00:00
2024-09-26T00:00:00+00:00,New Members,3,2024-09-26T00:00:00+00:00
2024-09-27T00:00:00+00:00,Existing Members,3,2024-09-27T00:00:00+00:00
2024-09-27T00:00:00+00:00,New Members,1,2024-09-27T00:00:00+00:00
2024-09-28T00:00:00+00:00,Existing Members,0,2024-09-28T00:00:00+00:00
2024-09-28T00:00:00+00:00,New Members,1,2024-09-28T00:00:00+00:00
2024-09-29T00:00:00+00:00,Existing Members,4,2024-09-29T00:00:00+00:00
2024-09-29T00:00:00+00:00,New Members,0,2024-09-29T00:00:00+00:00
2024-09-30T00:00:00+00:00,Existing Members,3,2024-09-30T00:00:00+00:00
2024-09-30T00:00:00+00:00,New Members,1,2024-09-30T00:00:00+00:00
